,precision,recall,f1-score,support
damaged,0.7777777777777778,0.6511627906976745,0.7088607594936709,43.0
intact,0.7457627118644068,0.8461538461538461,0.7927927927927928,52.0
accuracy,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053
macro avg,0.7617702448210923,0.7486583184257602,0.7508267761432319,95.0
weighted avg,0.76025374169888,0.7578947368421053,0.7548025040363481,95.0
